ID,Name,city
1701,Analise Fulton,Worcester
1702,Joy Woodley,Springfield
1703,Bart Myatt,New Orleans
1704,Cadence Thomas,Wien
1705,Kirsten Leslie,Toledo
1706,Vanessa Cadman,Bridgeport
1707,Cynthia Reese,Madrid
1708,Nick Wallace,San Jose
1709,Chad Phillips,Murfreesboro
1710,Fred Parker,Nashville
1711,Tony Drake,Madison
1712,Adalie Hall,Venice
1713,Madelyn Logan,Fayetteville
1714,Rufus Willson,Valetta
1715,Lily Saunders,Bridgeport
1716,Matt Addley,Fullerton
1717,Wade Mcleod,Innsbruck
1718,Chadwick Dwyer,Prague
1719,Tess Chapman,Stockton
1720,Sofie Lewis,Lincoln
1721,Enoch Rixon,Miami
1722,Mason James,Columbus
1723,Daniel Rowan,Rochester
1724,Jennifer Williams,Rochester
1725,Sofie Miller,Long Beach
1726,Adeline Olson,San Diego
1727,Jack Lowe,Denver
1728,Percy Adams,Chicago
1729,Caleb Dixon,Lyon
1730,Tom Bristow,Fremont
1731,Rocco Hastings,Miami
1732,Brooklyn Cadman,San Diego
1733,Kamila Gray,Bucharest
1734,Abdul Andersson,San Francisco
1735,Bethany Collins,Detroit
1736,Francesca Cassidy,Toledo
1737,Tyson Thomson,Lancaster
1738,Cassidy Matthews,Santa Ana
1739,Michael Newman,Pittsburgh
1740,Rachael Lewis,Rome
1741,Rick Exton,Huntsville
1742,John Lomax,Honolulu
1743,Nathan Tindall,Fremont
1744,Clarissa Briggs,Memphis
1745,Eduardo Moore,Tokyo
1746,Kieth Horton,Sacramento
1747,Rae Norburn,Springfield
1748,Denis Dempsey,Wien
1749,Julianna Baker,Lakewood
1750,Bart Watt,San Francisco
1751,Benjamin Sherry,Boston
1752,Janelle Whatson,Dallas
1753,Lucas Thomson,Worcester
1754,Tyler Herbert,Glendale
1755,Janice Eyres,Richmond
1756,Barney Ellis,Fort Lauderdale
1757,Joseph Tindall,Atlanta
1758,Alessandra Tyler,San Antonio
1759,Hope Ross,Jacksonville
1760,Joseph Wilkinson,Tokyo
1761,Vicky Wade,Otawa
1762,Brad Baldwin,Houston
1763,Natalie Durrant,Fort Lauderdale
1764,Maxwell Uttridge,Hayward
1765,Camila Aldridge,Amarillo
1766,Jennifer Calderwood,Fort Lauderdale
1767,Estrella Parker,Lakewood
1768,Denny Ebbs,New York
1769,Felicity Bentley,San Bernardino
1770,Barney King,Tallahassee
1771,Moira Mcnally,Fremont
1772,Cynthia Matthews,San Jose
1773,Nicholas Sawyer,Philadelphia
1774,Kate Harvey,Louisville
1775,Vicky Huggins,Norfolk
1776,Hayden Abbot,Norfolk
1777,Jaylene Hall,Washington
1778,Lily Davies,Prague
1779,Jasmine Brooks,Fort Lauderdale
1780,Laila Allington,Berlin
1781,Rae Watson,Lancaster
1782,Trisha Salt,Minneapolis
1783,Thea Healy,Laredo
1784,Chester Mitchell,Richmond
1785,Hank Dixon,Los Angeles
1786,Johnny Neal,Fayetteville
1787,Maxwell Giles,Otawa
1788,Fred Rees,El Paso
1789,Valerie Cooper,Otawa
1790,Wade Rosenbloom,Salt Lake City
1791,Lana Edwards,Baltimore
1792,Keira Matthews,Albuquerque
1793,Courtney Grey,Hollywood
1794,Nate Cooper,Fayetteville
1795,Chuck Nurton,Albuquerque
1796,David Hudson,Tallahassee
1797,Noah Wheeler,Colorado Springs
1798,Joyce Hill,Quebec
1799,Harvey Booth,Orlando
1800,Gladys Kirby,Bucharest
1801,John Mills,Nashville
1802,Leroy Reid,Madison
1803,Erica Vernon,Detroit
1804,Nate Owen,Valetta
1805,Bart Wren,Ontario
1806,Aleksandra Edley,Toledo
1807,Cedrick Jarvis,Berna
1808,Michael Webster,Laredo
1809,Bart Baxter,Glendale
1810,Tom Ripley,Chicago
1811,Vicky Roman,Wien
1812,Jamie Gordon,Escondido
1813,Norah Attwood,Venice
1814,Matt Slater,Berna
1815,Barry Norris,Berlin
1816,Ethan Tobin,Bridgeport
1817,Meredith Brock,Fort Lauderdale
1818,Javier Baker,Jersey City
1819,Ruth Clark,Nashville
1820,Naomi Robertson,Las Vegas
1821,Rhea Noon,Nashville
1822,Lucy Kaur,El Paso
1823,Sarah Moss,Scottsdale
1824,George Olson,Salt Lake City
1825,Melania Fleming,Lincoln
1826,Isla Roscoe,Dallas
1827,William Mcgregor,Laredo
1828,Allison Hardwick,Milwaukee
1829,Mabel Walton,Portland
1830,Gabriel Ashley,St. Louis
1831,Henry Doherty,Kansas City
1832,Payton Lynch,Lisbon
1833,Kamila Stewart,Miami
1834,Chad Mcleod,Madrid
1835,Kieth Wright,Innsbruck
1836,Jessica Paterson,Colorado Springs
1837,Hank Thomas,Rochester
1838,Lily Rosenbloom,Rome
1839,Nicholas Shea,Orlando
1840,Bob Stewart,Paris
1841,Sarah Crawford,Murfreesboro
1842,Harry Mcguire,Arlington
1843,Russel Griffiths,Tulsa
1844,Tony Simpson,Detroit
1845,Barney Oatway,Colorado Springs
1846,Chuck Bolton,Salem
1847,Alan Needham,Bridgeport
1848,Eileen Price,Hayward
1849,Carter Rycroft,Valetta
1850,Marvin Allington,Oakland
1851,Rose Heaton,Arlington
1852,Matt Hancock,Indianapolis
1853,Aeris Verdon,Oakland
1854,Piper Quinton,New York
1855,Anthony Chappell,Madison
1856,Luke Matthews,Atlanta
1857,Mason Little,Bucharest
1858,Tony Riley,Memphis
1859,Maxwell Wilde,Rome
1860,William Morgan,Stockton
1861,Alessia Boyle,Madrid
1862,Bree Crawford,San Jose
1863,Rosalyn Avery,Fort Lauderdale
1864,Teagan Noach,Otawa
1865,Wade Gibson,Anaheim
1866,Blake Appleton,Dallas
1867,Kurt Stewart,Berna
1868,Clint Funnell,Lyon
1869,John Wilcox,Memphis
1870,Jacob Norton,Bucharest
1871,Denis Rodwell,St. Louis
1872,Adina Young,Valetta
1873,Stella Button,Lisbon
1874,Dalia Isaac,Milwaukee
1875,Alan Vaughn,Henderson
1876,Mandy Truscott,San Francisco
1877,Sarah Campbell,Chicago
1878,Dakota Hepburn,Madison
1879,Lucas Owens,Huntsville
1880,Chadwick Reid,Reno
1881,Monica Vangness,Tallahassee
1882,Adina Lindop,Phoenix
1883,Erick Stuart,St. Louis
1884,Victoria Rigg,Prague
1885,Abdul Palmer,Springfield
1886,Matt Noon,Miami
1887,Bristol Lindop,Salem
1888,Makena West,Springfield
1889,Anais Coll,Charlotte
1890,Bree Walsh,Paris
1891,Alessia Garner,Norfolk
1892,Ema Briggs,Kansas City
1893,Nathan Rees,Reno
1894,Chad Mullins,Tallahassee
1895,Drew Edmonds,Fremont
1896,Bridget Emerson,Oklahoma City
1897,Andie Morris,Quebec
1898,Isabella Oldfield,San Antonio
1899,Ciara Brown,Lincoln
1900,Phillip Swift,Las Vegas
1901,Ethan Parker,San Antonio
1902,Clarissa Mcneill,Huntsville
1903,Benny Coates,Otawa
1904,Emmanuelle Callan,Portland
1905,Robyn Clifton,Innsbruck
1906,Rachael Walker,Los Angeles
1907,Marissa Ogilvy,San Diego
1908,Gwenyth Shaw,Norfolk
1909,Michelle Radley,Ontario
1910,Ron Russel,Springfield
1911,Angela Simpson,Lincoln
1912,Renee Warner,Minneapolis
1913,Rick Allington,Louisville
1914,Eduardo Bell,Amarillo
1915,Jackeline Flynn,Los Angeles
1916,Ronald Dobson,Venice
1917,Adalind Webster,Berlin
1918,Manuel Ellis,St. Louis
1919,Mark Riley,Charlotte
1920,Kaylee Vass,Worcester
1921,Marvin Eastwood,Seattle
1922,Domenic Nurton,Phoenix
1923,Danielle Ogilvy,Fremont
1924,Andrea Allington,Madison
1925,Carolyn Lewis,Garland
1926,Chris Mitchell,Rome
1927,Enoch Knight,Bridgeport
1928,Rachael Vallory,Lincoln
1929,Penelope Knight,Kansas City
1930,Destiny Rowe,Zurich
1931,Domenic Allcott,Reno
1932,Ron Dyson,Salt Lake City
1933,Stacy Norris,Tallahassee
1934,Denis Spencer,Omaha
1935,Vivian Milner,Nashville
1936,Domenic Young,Washington
1937,Hazel Boyle,Honolulu
1938,Liam Jeffery,Milano
1939,Melania Yarlett,Toledo
1940,John Silva,Fremont
1941,Willow Richards,El Paso
1942,Hazel Tyler,Berlin
1943,Lucy Bell,Kansas City
1944,Michael Aldridge,Philadelphia
1945,Charlize Casey,Amarillo
1946,Luke Eagle,Minneapolis
1947,Jacob Shaw,St. Louis
1948,Kieth Oswald,Lakewood
1949,Ivette Whatson,Toledo
1950,Rick Hardwick,Milano
1951,Cassandra Boyle,Jacksonville
1952,Tyson Willis,Tulsa
1953,Abbey Clifford,El Paso
1954,Alexa Gordon,Wien
1955,Barney Brooks,New York
1956,Clint Barrett,Lisbon
1957,Gwen Parker,Fayetteville
1958,Keira Vincent,Tallahassee
1959,Nicholas Edwards,Detroit
1960,Ivette King,Salem
1961,Benjamin Wade,Dallas
1962,Ilona Wood,Jersey City
1963,Enoch Graham,Lakewood
1964,Marvin Taylor,Bakersfield
1965,Holly Poulton,Sacramento
1966,Daniel Booth,Oakland
1967,Carter Gallacher,Richmond
1968,Aleksandra Blackwall,Fullerton
1969,Kieth Freeburn,Anaheim
1970,Juliette Plant,Amarillo
1971,Camellia Edmonds,Amarillo
1972,William Mould,Amarillo
1973,Vanessa Parker,Pittsburgh
1974,Juliet Leigh,Madison
1975,Carmen Gavin,Lakewood
1976,Elisabeth Thornton,Anaheim
1977,Angelina Cann,Madrid
1978,Rick Cadman,Madrid
1979,Sebastian Eyres,Albuquerque
1980,Cedrick Waterhouse,Innsbruck
1981,Marigold Allington,Irving
1982,Susan Graham,Los Angeles
1983,William Ring,Laredo
1984,Florence Kirby,Rome
1985,Felicity Stevens,Stockton
1986,Aiden Flett,Orlando
1987,Andrea Mcguire,Lyon
1988,Dani London,Honolulu
1989,Tony Dempsey,Bucharest
1990,Johnathan Fleming,Louisville
1991,George Brooks,Saint Paul
1992,Jack Redfern,Arlington
1993,Florence Gilmour,Columbus
1994,Winnie Knight,Rome
1995,Rick Bell,San Jose
1996,Johnathan Gunn,Richmond
1997,Eduardo Wright,Fullerton
1998,Dasha Jarvis,Springfield
1999,Quinn Webster,Rochester
2000,Mya Bristow,Paris

